x,q1,q2,q3
0.924925,0.132859,0.028929,0.892275
0.925926,0.132859,0.028929,0.892275
0.926927,0.132606,0.028573,0.891345
0.927928,0.132606,0.028573,0.891345
0.928929,0.132362,0.028232,0.890449
0.929930,0.132362,0.028232,0.890449
0.930931,0.132128,0.027903,0.889586
0.931932,0.132128,0.027903,0.889586
0.932933,0.131902,0.027588,0.888755
0.933934,0.131902,0.027588,0.888755
0.934935,0.131685,0.027285,0.887956
0.935936,0.131685,0.027285,0.887956
0.936937,0.131477,0.026994,0.887187
0.937938,0.131477,0.026994,0.887187
0.938939,0.131277,0.026715,0.886448
0.939940,0.131277,0.026715,0.886448
0.940941,0.131084,0.026447,0.885738
0.941942,0.131084,0.026447,0.885738
0.942943,0.130900,0.026191,0.885056
0.943944,0.130900,0.026191,0.885056
0.944945,0.130722,0.025945,0.884402
0.945946,0.130722,0.025945,0.884402
0.946947,0.130553,0.025709,0.883774
0.947948,0.130553,0.025709,0.883774
0.948949,0.130390,0.025484,0.883173
0.949950,0.130390,0.025484,0.883173
0.950951,0.130234,0.025268,0.882597
0.951952,0.130234,0.025268,0.882597
0.952953,0.130085,0.025062,0.882045
0.953954,0.130085,0.025062,0.882045
0.954955,0.129943,0.024865,0.881518
0.955956,0.129943,0.024865,0.881518
0.956957,0.129807,0.024677,0.881015
0.957958,0.129807,0.024677,0.881015
0.958959,0.129677,0.024499,0.880534
0.959960,0.129677,0.024499,0.880534
0.960961,0.129553,0.024328,0.880077
0.961962,0.129553,0.024328,0.880077
0.962963,0.129436,0.024167,0.879641
0.963964,0.129436,0.024167,0.879641
0.964965,0.129324,0.024013,0.879228
0.965966,0.129324,0.024013,0.879228
0.966967,0.129219,0.023868,0.878836
0.967968,0.129219,0.023868,0.878836
0.968969,0.129119,0.023731,0.878466
0.969970,0.129119,0.023731,0.878466
0.970971,0.129025,0.023602,0.878117
0.971972,0.129025,0.023602,0.878117
0.972973,0.128936,0.023480,0.877789
0.973974,0.128936,0.023480,0.877789
0.974975,0.128854,0.023367,0.877481
